protein,elastic_network,time_ps,rmsd_nm
smyomerger,True,640000.0,0.5112115
smyomerger,True,650000.0,0.4285388
smyomerger,True,660000.0,0.5044707
smyomerger,True,670000.0,0.478638
smyomerger,True,680000.0,0.4837032
smyomerger,True,690000.0,0.4091798
smyomerger,True,700000.0,0.5183954
smyomerger,True,710000.0,0.4297511
smyomerger,True,720000.0,0.4853572
smyomerger,True,730000.0,0.456671
smyomerger,True,740000.0,0.4852483
smyomerger,True,750000.0,0.3954726
smyomerger,True,760000.0,0.4478559
smyomerger,True,770000.0,0.3906003
smyomerger,True,780000.0,0.4647253
smyomerger,True,790000.0,0.3946198
smyomerger,True,800000.0,0.4796631
smyomerger,True,810000.0,0.5133786
smyomerger,True,820000.0,0.4183914
smyomerger,True,830000.0,0.4848719
smyomerger,True,840000.0,0.4555441
smyomerger,True,850000.0,0.4343532
smyomerger,True,860000.0,0.4329248
smyomerger,True,870000.0,0.4211524
smyomerger,True,880000.0,0.4844015
smyomerger,True,890000.0,0.3732278
smyomerger,True,900000.0,0.421297
smyomerger,True,910000.0,0.5044478
smyomerger,True,920000.0,0.4106176
smyomerger,True,930000.0,0.4133178
smyomerger,True,940000.0,0.4165441
smyomerger,True,950000.0,0.5654193
smyomerger,True,960000.0,0.4146917
smyomerger,True,970000.0,0.4082541
smyomerger,True,980000.0,0.425616
smyomerger,True,990000.0,0.4500299
smyomerger,True,1000000.0,0.5495468
smyomerger,False,0.0,0.0047369
smyomerger,False,10000.0,0.7490015
smyomerger,False,20000.0,1.123356
smyomerger,False,30000.0,1.4686049
smyomerger,False,40000.0,1.3697592
smyomerger,False,50000.0,1.0978953
smyomerger,False,60000.0,1.1479391
smyomerger,False,70000.0,1.4427243
smyomerger,False,80000.0,1.391368
smyomerger,False,90000.0,0.9981437
smyomerger,False,100000.0,0.8574385
smyomerger,False,110000.0,1.3164769
smyomerger,False,120000.0,1.5005376
smyomerger,False,130000.0,1.6307781
smyomerger,False,140000.0,1.4062067
smyomerger,False,150000.0,1.4679157
smyomerger,False,160000.0,1.4314377
smyomerger,False,170000.0,1.2889965
smyomerger,False,180000.0,1.5968874
smyomerger,False,190000.0,1.4393122
smyomerger,False,200000.0,1.4756259
smyomerger,False,210000.0,1.4216553
smyomerger,False,220000.0,1.1883237
smyomerger,False,230000.0,1.210586
smyomerger,False,240000.0,1.3692695
smyomerger,False,250000.0,1.7360446
smyomerger,False,260000.0,1.3522109
smyomerger,False,270000.0,1.440643
smyomerger,False,280000.0,1.5676883
smyomerger,False,290000.0,1.4306837
smyomerger,False,300000.0,1.7293012
smyomerger,False,310000.0,1.3429161
smyomerger,False,320000.0,1.1837342
smyomerger,False,330000.0,1.4218794
smyomerger,False,340000.0,1.1693052
smyomerger,False,350000.0,1.2073863
smyomerger,False,360000.0,1.4248267
smyomerger,False,370000.0,1.4338863
smyomerger,False,380000.0,1.5855664
smyomerger,False,390000.0,1.0246062
smyomerger,False,400000.0,1.3807713
smyomerger,False,410000.0,1.7448323
smyomerger,False,420000.0,1.4691858
smyomerger,False,430000.0,1.3325473
smyomerger,False,440000.0,1.585103
smyomerger,False,450000.0,1.3673521
smyomerger,False,460000.0,1.4487644
smyomerger,False,470000.0,1.2497932
smyomerger,False,480000.0,1.544755
smyomerger,False,490000.0,1.5713246
smyomerger,False,500000.0,1.2742538
smyomerger,False,510000.0,1.560601
smyomerger,False,520000.0,1.2077332
smyomerger,False,530000.0,1.5945009
smyomerger,False,540000.0,1.319051
smyomerger,False,550000.0,1.2726159
smyomerger,False,560000.0,1.3058178
smyomerger,False,570000.0,1.3378887
smyomerger,False,580000.0,1.6204878
smyomerger,False,590000.0,1.8470237
smyomerger,False,600000.0,1.8965085
smyomerger,False,610000.0,1.6075208
smyomerger,False,620000.0,1.0600485
smyomerger,False,630000.0,1.1112971
smyomerger,False,640000.0,1.2267567
smyomerger,False,650000.0,1.0651143
smyomerger,False,660000.0,1.146227
smyomerger,False,670000.0,1.2953774
smyomerger,False,680000.0,1.3098493
smyomerger,False,690000.0,1.3133324
smyomerger,False,700000.0,1.5614825
smyomerger,False,710000.0,1.5897844
smyomerger,False,720000.0,1.3676611
smyomerger,False,730000.0,1.3126043
smyomerger,False,740000.0,1.1698927
smyomerger,False,750000.0,1.4406408
smyomerger,False,760000.0,1.2816696
smyomerger,False,770000.0,0.8388709
smyomerger,False,780000.0,1.1134464
smyomerger,False,790000.0,1.4884517
smyomerger,False,800000.0,1.1599406
smyomerger,False,810000.0,1.1527323
smyomerger,False,820000.0,1.1042453
smyomerger,False,830000.0,1.3265358
smyomerger,False,840000.0,1.3747276
smyomerger,False,850000.0,1.6084222
smyomerger,False,860000.0,1.3212947
smyomerger,False,870000.0,1.1782194
smyomerger,False,880000.0,0.744691
smyomerger,False,890000.0,1.2245739
smyomerger,False,900000.0,1.6546822
smyomerger,False,910000.0,1.3358467
smyomerger,False,920000.0,1.309752
smyomerger,False,930000.0,0.9238781
smyomerger,False,940000.0,1.4060346
smyomerger,False,950000.0,1.4144924
smyomerger,False,960000.0,1.6261572
smyomerger,False,970000.0,1.1851842
smyomerger,False,980000.0,1.7734376
smyomerger,False,990000.0,1.2408969
smyomerger,False,1000000.0,1.1413921
synaptotagmine1c2b,True,0.0,0.00492
synaptotagmine1c2b,True,10000.0,0.3139548
synaptotagmine1c2b,True,20000.0,0.2948248
synaptotagmine1c2b,True,30000.0,0.3359283
synaptotagmine1c2b,True,40000.0,0.2937159
synaptotagmine1c2b,True,50000.0,0.3065028
synaptotagmine1c2b,True,60000.0,0.303336
synaptotagmine1c2b,True,70000.0,0.3270454
synaptotagmine1c2b,True,80000.0,0.3125455
synaptotagmine1c2b,True,90000.0,0.3169198
synaptotagmine1c2b,True,100000.0,0.3287598
synaptotagmine1c2b,True,110000.0,0.3231032
synaptotagmine1c2b,True,120000.0,0.3092261
synaptotagmine1c2b,True,130000.0,0.3224569
synaptotagmine1c2b,True,140000.0,0.2907414
synaptotagmine1c2b,True,150000.0,0.3128834
synaptotagmine1c2b,True,160000.0,0.3268549
synaptotagmine1c2b,True,170000.0,0.3274772
synaptotagmine1c2b,True,180000.0,0.3217244
synaptotagmine1c2b,True,190000.0,0.3182076
synaptotagmine1c2b,True,200000.0,0.3430736
synaptotagmine1c2b,True,210000.0,0.3451896
synaptotagmine1c2b,True,220000.0,0.3190257
synaptotagmine1c2b,True,230000.0,0.3252211
synaptotagmine1c2b,True,240000.0,0.3267822
synaptotagmine1c2b,True,250000.0,0.3403343
synaptotagmine1c2b,True,260000.0,0.3534886
synaptotagmine1c2b,True,270000.0,0.3464702
synaptotagmine1c2b,True,280000.0,0.3263623
synaptotagmine1c2b,True,290000.0,0.3273417
synaptotagmine1c2b,True,300000.0,0.3369392
synaptotagmine1c2b,True,310000.0,0.318498
synaptotagmine1c2b,True,320000.0,0.3380052
synaptotagmine1c2b,True,330000.0,0.3116347
synaptotagmine1c2b,True,340000.0,0.3345351
synaptotagmine1c2b,True,350000.0,0.3273839
synaptotagmine1c2b,True,360000.0,0.3217943
synaptotagmine1c2b,True,370000.0,0.3258784
synaptotagmine1c2b,True,380000.0,0.3400075
synaptotagmine1c2b,True,390000.0,0.3252982
synaptotagmine1c2b,True,400000.0,0.3526006
synaptotagmine1c2b,True,410000.0,0.3325267
synaptotagmine1c2b,True,420000.0,0.3340972
synaptotagmine1c2b,True,430000.0,0.3245065
synaptotagmine1c2b,True,440000.0,0.3413443
synaptotagmine1c2b,True,450000.0,0.3377417
synaptotagmine1c2b,True,460000.0,0.3157378
synaptotagmine1c2b,True,470000.0,0.3173528
synaptotagmine1c2b,True,480000.0,0.3485016
synaptotagmine1c2b,True,490000.0,0.303709
synaptotagmine1c2b,True,500000.0,0.3332364
synaptotagmine1c2b,True,510000.0,0.3278581
synaptotagmine1c2b,True,520000.0,0.3325355
synaptotagmine1c2b,True,530000.0,0.3367057
synaptotagmine1c2b,True,540000.0,0.3278785
synaptotagmine1c2b,True,550000.0,0.3277702
synaptotagmine1c2b,True,560000.0,0.319705
synaptotagmine1c2b,True,570000.0,0.3359649
synaptotagmine1c2b,True,580000.0,0.3417639
synaptotagmine1c2b,True,590000.0,0.3410437
synaptotagmine1c2b,True,600000.0,0.3148915
synaptotagmine1c2b,True,610000.0,0.3281021
synaptotagmine1c2b,True,620000.0,0.3406257
synaptotagmine1c2b,True,630000.0,0.3215137
synaptotagmine1c2b,True,640000.0,0.2994072
synaptotagmine1c2b,True,650000.0,0.3099871
synaptotagmine1c2b,True,660000.0,0.3210513
synaptotagmine1c2b,True,670000.0,0.3358284
synaptotagmine1c2b,True,680000.0,0.3426389
synaptotagmine1c2b,True,690000.0,0.3175334
synaptotagmine1c2b,True,700000.0,0.3270054
synaptotagmine1c2b,True,710000.0,0.3390003
synaptotagmine1c2b,True,720000.0,0.309857
synaptotagmine1c2b,True,730000.0,0.3479373
synaptotagmine1c2b,True,740000.0,0.3366519
synaptotagmine1c2b,True,750000.0,0.3283693
synaptotagmine1c2b,True,760000.0,0.3431041
synaptotagmine1c2b,True,770000.0,0.3381107
synaptotagmine1c2b,True,780000.0,0.3195232
synaptotagmine1c2b,True,790000.0,0.3236184
synaptotagmine1c2b,True,800000.0,0.3328237
synaptotagmine1c2b,True,810000.0,0.3301302
synaptotagmine1c2b,True,820000.0,0.3280919
synaptotagmine1c2b,True,830000.0,0.3286012
synaptotagmine1c2b,True,840000.0,0.3209656
synaptotagmine1c2b,True,850000.0,0.335605
synaptotagmine1c2b,True,860000.0,0.3223101
synaptotagmine1c2b,True,870000.0,0.3313524
synaptotagmine1c2b,True,880000.0,0.3435499
synaptotagmine1c2b,True,890000.0,0.3169951
synaptotagmine1c2b,True,900000.0,0.3253451
synaptotagmine1c2b,True,910000.0,0.3236978
synaptotagmine1c2b,True,920000.0,0.3273712
synaptotagmine1c2b,True,930000.0,0.3133393
synaptotagmine1c2b,True,940000.0,0.3223858
synaptotagmine1c2b,True,950000.0,0.346871
synaptotagmine1c2b,True,960000.0,0.3480511
synaptotagmine1c2b,True,970000.0,0.3260379
synaptotagmine1c2b,True,980000.0,0.3433385
synaptotagmine1c2b,True,990000.0,0.3236762
synaptotagmine1c2b,True,1000000.0,0.327589
synaptotagmine1c2b,False,0.0,0.004956
synaptotagmine1c2b,False,10000.0,1.1133593
synaptotagmine1c2b,False,20000.0,1.5103214
synaptotagmine1c2b,False,30000.0,1.4191303
synaptotagmine1c2b,False,40000.0,1.8425668
synaptotagmine1c2b,False,50000.0,1.8832754
synaptotagmine1c2b,False,60000.0,1.7237443
synaptotagmine1c2b,False,70000.0,1.8402689
synaptotagmine1c2b,False,80000.0,1.9820689
synaptotagmine1c2b,False,90000.0,1.9505761
synaptotagmine1c2b,False,100000.0,1.9769018
synaptotagmine1c2b,False,110000.0,2.0971787
synaptotagmine1c2b,False,120000.0,2.1383121
synaptotagmine1c2b,False,130000.0,2.1212323
synaptotagmine1c2b,False,140000.0,1.9723938
synaptotagmine1c2b,False,150000.0,1.698693
synaptotagmine1c2b,False,160000.0,1.7868664
